id_municipio,id_municipio_nome,sigla_uf,populacao,area,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,razao_sexo
5004809,Japorã,MS,8139,417,0.84972,21.59,24,102.43
5106174,Nova Nazaré,MT,4165,4035,0.82435,19.44,24,103.29
1503903,Juruti,PA,50735,8305,0.93764,17.84,24,105.77
1200336,Mâncio Lima,AC,19224,5452,0.84267,19.54,25,104.82
1200054,Assis Brasil,AC,8090,4979,0.85299,17.65,25,104.34
1303205,Novo Airão,AM,15707,37777,0.8957,19.93,25,104.34
1303403,Parintins,AM,96063,5956,0.95931,23.91,25,102.22
1302504,Manacapuru,AM,101637,7337,0.8897,21.1,25,104.15
1600535,Porto Grande,AP,17794,4428,0.90151,18.06,25,105.65
1600105,Amapá,AP,7911,8455,0.89526,20.41,25,108.26
1600204,Calçoene,AP,10432,14117,0.899,16.71,25,110.64
2106359,Marajá do Sena,MA,7025,1403,0.7127,17.71,25,122.3
2110278,Santo Amaro do Maranhão,MA,13923,1583,0.82316,24.83,25,104.56
2109205,Presidente Juscelino,MA,11340,356,0.79305,23.99,25,106.25
2105005,Humberto de Campos,MA,25647,1715,0.81568,26.89,25,107.88
2110401,São Benedito do Rio Preto,MA,18342,931,0.79038,27.53,25,103.25
2101970,Boa Vista do Gurupi,MA,7550,400,0.80899,22.71,25,103.06
2100105,Afonso Cunha,MA,6132,371,0.7678,24.06,25,103.92
2102036,Bom Jesus das Selvas,MA,28534,2677,0.77669,22.63,25,106.4
2102374,Cachoeira Grande,MA,9720,707,0.77803,24.94,25,108.44
2106326,Maracaçumé,MA,21131,636,0.81787,22.68,25,96.19
2111029,São João do Carú,MA,12251,910,0.71787,23.94,25,103.81
2112456,Turilândia,MA,31614,1508,0.82449,19.97,25,96.91
2109403,Primeira Cruz,MA,13603,1337,0.79691,27.09,25,111.73
2100550,Amapá do Maranhão,MA,7170,502,0.79238,23.5,25,103.98
2100956,Arame,MA,25478,2976,0.7501,23.97,25,106.35
2102200,Buriti,MA,29628,1476,0.76364,28.03,25,104.32
2105351,Itaipava do Grajaú,MA,13824,1244,0.74548,23.68,25,106.26
3162450,São João das Missões,MG,13024,678,0.79976,23.87,25,103.15
5003157,Coronel Sapucaia,MS,14207,1024,0.84956,23.53,25,96.98
1500404,Alenquer,PA,69250,23645,0.89182,21.23,25,105.94
1507953,Tailândia,PA,72364,4430,0.88618,15.04,25,101.8
1505304,Oriximiná,PA,68115,107614,0.92672,22.44,25,101.83
1504000,Limoeiro do Ajuru,PA,29525,1490,0.89351,18.31,25,107.09
1508308,Viseu,PA,58608,4973,0.80779,23.2,25,107.98
1501006,Aveiro,PA,18188,17074,0.90959,23.82,25,110.13
1500859,Anapu,PA,31548,11895,0.85046,16.64,25,108.92
1501956,Cachoeira do Piriá,PA,19578,2420,0.79783,18.32,25,111.55
1507201,São Domingos do Capim,PA,30585,1687,0.83702,25.87,25,109.81
1507706,São Sebastião da Boa Vista,PA,25539,1632,0.90484,19.26,25,108.24
1504950,Nova Esperança do Piriá,PA,20437,2808,0.77071,17.14,25,105.56
1500503,Almeirim,PA,34173,72955,0.8742,18.85,25,106.1
1506005,Prainha,PA,35427,14787,0.88558,17.95,25,107.93
1400282,Iracema,RR,10018,14012,0.79965,20.26,25,112.94
1400175,Cantá,RR,18557,7665,0.90809,21.89,25,114.17
1703842,Campos Lindos,TO,8623,3234,0.86861,20.77,25,108.26
1200500,Sena Madureira,AC,40874,23760,0.82408,23.15,26,107.76
