"model";"AIC";"BIC";"AICc";"RMSE"
"ARIMA(2,2,2)(1,0,0)_12";1791.75786413269;1807.85065149544;1792.58954730101;900.470405547202
"ARIMA(2,2,2)(0,0,1)_12";1792.23352167767;1808.32630904042;1793.06520484599;903.473143125243
"ARIMA(2,2,2)(1,0,1)_12";1792.96555988964;1811.74047847951;1794.08555988964;895.252189343341
"ARIMA(0,2,1)(1,0,0)_12";1796.40899196244;1804.45538564381;1796.63976119321;945.941218103451
"ARIMA(0,2,1)(0,0,0)_12";1796.4357674148;1801.80002986905;1796.55005312909;958.752399402233
"ARIMA(0,2,1)(0,0,1)_12";1797.17267173233;1805.2190654137;1797.4034409631;951.602168979992
"ARIMA(0,2,1)(1,0,1)_12";1797.23202471999;1807.96054962849;1797.62037423455;937.817078829589
"ARIMA(2,2,0)(0,0,0)_12";1799.36432452944;1807.41071821081;1799.5950937602;963.333774926354
"ARIMA(2,2,0)(1,0,0)_12";1799.81420789935;1810.54273280785;1800.20255741392;953.805344871466
"ARIMA(2,2,0)(0,0,1)_12";1800.07224456843;1810.80076947693;1800.46059408299;955.689461234567
"ARIMA(2,2,0)(1,0,1)_12";1801.63509400591;1815.04575014153;1802.22332930003;952.564725025678
"ARIMA(1,2,0)(0,0,0)_12";1820.23556093971;1825.59982339395;1820.34984665399;1073.02160084549
"ARIMA(1,2,0)(1,0,0)_12";1821.31825986669;1829.36465354806;1821.54902909746;1066.10210463027
"ARIMA(1,2,0)(0,0,1)_12";1821.56887197025;1829.61526565162;1821.79964120102;1068.43385618188
"ARIMA(1,2,0)(1,0,1)_12";1823.01047029589;1833.73899520439;1823.39881981045;1063.72914738899
"ARIMA(2,1,0)(1,0,0)_12";1836.40791331251;1847.17330484143;1836.79252869713;1039.41738573497
"ARIMA(2,1,0)(0,0,0)_12";1837.79952108622;1845.87356473291;1838.02809251479;1065.74743415152
"ARIMA(2,1,0)(1,0,1)_12";1837.84328484846;1851.30002425961;1838.42580912031;1035.77298318547
"ARIMA(2,1,0)(0,0,1)_12";1837.90160392751;1848.66699545643;1838.28621931213;1053.65174046121
"ARIMA(0,1,2)(1,0,0)_12";1859.88973687415;1870.65512840307;1860.27435225876;1102.32525275538
"ARIMA(0,1,2)(1,0,1)_12";1861.78300678378;1875.23974619492;1862.36553105562;1100.61116688022
"ARIMA(1,1,0)(1,0,0)_12";1864.4258879786;1872.49993162529;1864.65445940717;1153.66020992525
"ARIMA(1,1,0)(1,0,1)_12";1866.33118406551;1877.09657559443;1866.71579945013;1155.23961410245
"ARIMA(0,2,0)(0,0,0)_12";1868.7495901432;1871.43172137032;1868.78732599226;1358.64905857027
"ARIMA(0,2,0)(1,0,0)_12";1870.74483181466;1876.10909426891;1870.85911752895;1358.5984585472
"ARIMA(0,2,0)(0,0,1)_12";1870.74680730308;1876.11106975733;1870.86109301737;1358.62448508792
"ARIMA(0,2,0)(1,0,1)_12";1872.74859306253;1880.7949867439;1872.9793622933;1358.6395499151
"ARIMA(1,1,0)(0,0,1)_12";1873.64441658478;1881.71846023147;1873.87298801335;1254.15366911505
"ARIMA(1,1,0)(0,0,0)_12";1875.23830284202;1880.62099860648;1875.35151038919;1282.32916541869
"ARIMA(0,1,2)(0,0,1)_12";1881.52582409218;1892.2912156211;1881.9104394768;1272.69577000826
"ARIMA(0,1,1)(0,0,1)_12";1898.01846347169;1906.09250711838;1898.24703490026;1379.35149990748
"ARIMA(0,1,2)(0,0,0)_12";1898.41686727319;1906.49091091988;1898.64543870176;1415.32929861456
"ARIMA(0,1,0)(0,0,1)_12";1915.65933380904;1921.0420295735;1915.77254135621;1494.15628357376
"ARIMA(0,1,1)(0,0,0)_12";1920.44370452945;1925.82640029391;1920.55691207662;1582.05591451787
"ARIMA(0,0,2)(0,1,1)_12";1951.04142070064;1961.38129061533;1951.47152822752;4190.36682986305
"ARIMA(0,1,0)(0,0,0)_12";1955.52121403241;1958.21256191464;1955.55859720998;1877.32227962522
"ARIMA(0,0,2)(0,1,0)_12";1975.58108277306;1983.33598520907;1975.836401922;5045.31200096596
