model;AIC;BIC;AICc;RMSE
ARIMA(1,2,0)(1,0,0)_12;1121.432392;1128.65255;1121.740084;214.7925788
ARIMA(1,2,0)(0,0,1)_12;1121.470437;1128.690594;1121.778129;214.8569278
ARIMA(1,2,0)(0,0,0)_12;1119.793467;1124.606906;1119.945366;215.3397274
ARIMA(2,2,2)(1,1,1)_12;991.600454;1007.339921;993.4069056;215.8563873
ARIMA(2,2,1)(1,1,1)_12;990.2715028;1003.762474;991.6048361;216.2955368
ARIMA(1,2,2)(1,1,1)_12;990.396842;1003.887813;991.7301754;216.6312804
ARIMA(0,2,1)(1,1,1)_12;986.7921383;995.7861192;987.4075229;217.1553021
ARIMA(0,2,2)(1,1,1)_12;988.7690452;1000.011521;989.7065452;217.1688464
ARIMA(1,1,0)(0,1,1)_12;993.9348472;1000.722887;994.2930562;217.2957098
ARIMA(1,2,1)(1,1,1)_12;988.6088455;999.8513217;989.5463455;217.3611165
ARIMA(1,2,0)(1,1,1)_12;986.8514356;995.8454166;987.4668202;217.3728734
ARIMA(2,2,0)(1,1,1)_12;988.8506945;1000.093171;989.7881945;217.3784131
ARIMA(0,2,0)(0,1,1)_12;985.8267025;990.3236929;986.0058069;217.951933
ARIMA(1,1,0)(1,0,1)_12;1141.697488;1151.37285;1142.210308;218.8097602
ARIMA(1,1,0)(1,1,1)_12;995.6298099;1004.680529;996.2358705;219.018859
ARIMA(1,1,0)(1,0,0)_12;1140.377146;1147.633668;1140.680944;220.005366
ARIMA(1,1,0)(0,0,1)_12;1140.591963;1147.848485;1140.895761;220.3560121
ARIMA(0,2,0)(1,1,1)_12;987.5746853;994.320171;987.9383217;221.1503408
ARIMA(0,2,0)(1,0,1)_12;1126.488272;1133.708429;1126.795964;221.3392867
ARIMA(1,1,0)(0,0,0)_12;1139.38869;1144.226371;1139.53869;221.5006323
ARIMA(0,2,0)(1,0,0)_12;1124.998739;1129.812178;1125.150638;222.2586536
ARIMA(0,2,0)(0,0,1)_12;1125.107785;1129.921223;1125.259684;222.4484954
ARIMA(0,2,0)(0,0,0)_12;1123.563828;1125.970547;1123.613828;223.1458495
ARIMA(2,0,2)(1,1,0)_12;1022.507558;1036.167555;1023.799866;229.7119718
ARIMA(2,1,1)(1,1,0)_12;1000.414615;1011.728014;1001.337692;230.1066364
ARIMA(2,1,2)(1,1,0)_12;1002.174262;1015.750341;1003.486762;230.1564601
ARIMA(2,1,0)(1,1,0)_12;999.1154487;1008.166168;999.7215093;230.7001825
ARIMA(1,1,1)(1,1,0)_12;999.1606095;1008.211329;999.7666701;230.7121105
ARIMA(1,1,2)(1,1,0)_12;1001.160602;1012.474002;1002.083679;230.7126575
ARIMA(1,1,0)(1,1,0)_12;998.2433996;1005.031439;998.6016085;232.2996393
ARIMA(2,2,2)(1,1,0)_12;995.5240868;1009.015058;996.8574201;232.4561294
ARIMA(2,0,0)(1,1,0)_12;1020.340422;1029.447087;1020.937437;232.5712911
ARIMA(2,2,1)(1,1,0)_12;994.2591508;1005.501627;995.1966508;233.1425013
ARIMA(1,2,2)(1,1,0)_12;994.2869523;1005.529428;995.2244523;233.1645699
ARIMA(1,2,1)(1,1,0)_12;992.325845;1001.319826;992.9412296;233.2061949
ARIMA(0,2,2)(1,1,0)_12;992.8495019;1001.843483;993.4648865;234.0358975
ARIMA(0,2,1)(1,1,0)_12;990.9769105;997.7223963;991.3405469;234.34962
ARIMA(1,2,0)(1,1,0)_12;991.065919;997.8114047;991.4295553;234.5992335
ARIMA(2,2,0)(1,1,0)_12;993.0649682;1002.058949;993.6803528;234.6156426
ARIMA(2,0,0)(1,0,1)_12;1158.013791;1172.598692;1159.1047;236.8359371
ARIMA(0,2,0)(1,1,0)_12;990.9979273;995.4949178;991.1770318;237.5779174
ARIMA(2,0,0)(1,0,0)_12;1155.850059;1168.004143;1156.619289;239.2234026
ARIMA(2,1,2)(0,1,0)_12;1010.303248;1021.616647;1011.226325;251.8315113
ARIMA(2,2,2)(0,1,0)_12;1008.804623;1020.0471;1009.742123;262.6960621
ARIMA(2,1,1)(0,1,0)_12;1013.81655;1022.86727;1014.422611;262.8118148
ARIMA(1,2,2)(0,1,0)_12;1006.357065;1015.351046;1006.97245;264.3987663
ARIMA(1,1,2)(0,1,0)_12;1014.834617;1023.885336;1015.440678;264.612057
ARIMA(2,2,1)(0,1,0)_12;1007.877481;1016.871462;1008.492866;267.6271662
ARIMA(1,2,1)(0,1,0)_12;1006.409794;1013.155279;1006.77343;268.7170961
