"Model";"RMSE";"MAE";"MAPE"
"Linear";2264.28239811115;1872.97447598156;13.3860710306502
"ETS";383.425689431293;299.154382110563;2.35434994928247
"ARIMA";502.22699867113;347.87461496863;1.89754798381377
"VA";184.393732710296;137.102359575939;0.971445255110006
"Prophet";5021.0968792951;4758.08561592108;0.148804084109223
