model;AIC;BIC;AICc;RMSE
ARIMA(0,2,0)(0,1,1)_12;670.0515487;673.7088315;670.3306185;241.7485376
ARIMA(1,2,0)(0,1,1)_12;670.3433829;675.8293071;670.9148114;236.2771784
ARIMA(0,2,1)(0,1,1)_12;670.4161496;675.9020738;670.9875782;236.6906869
ARIMA(2,2,0)(0,1,1)_12;672.2734003;679.5879659;673.24901;236.549113
ARIMA(1,2,1)(0,1,1)_12;672.3096404;679.6242059;673.2852501;237.8569143
ARIMA(0,2,2)(0,1,1)_12;672.413561;679.7281266;673.3891708;236.5714738
ARIMA(1,2,0)(1,1,1)_12;672.7026894;680.017255;673.6782991;250.0144858
ARIMA(0,2,1)(1,1,1)_12;672.7847813;680.0993469;673.7603911;251.0460572
ARIMA(0,2,0)(1,1,1)_12;672.7872228;678.273147;673.3586514;261.9792857
ARIMA(0,2,0)(1,1,0)_12;673.1279267;676.7852095;673.4069965;274.047425
ARIMA(0,2,1)(1,1,0)_12;674.1181118;679.604036;674.6895404;271.7847587
ARIMA(1,2,2)(0,1,1)_12;674.1384802;683.2816872;675.6384802;236.6196904
ARIMA(1,2,0)(1,1,0)_12;674.1695229;679.6554471;674.7409515;272.0615827
ARIMA(2,2,0)(1,1,1)_12;674.6251626;683.7683696;676.1251626;249.2394117
ARIMA(0,2,2)(1,1,1)_12;674.8691718;684.0123787;676.3691718;252.3835472
ARIMA(1,2,1)(1,1,1)_12;674.9975114;684.1407184;676.4975114;255.8795084
ARIMA(2,2,2)(0,1,1)_12;675.4307691;686.4026175;677.5846153;237.6909533
ARIMA(1,2,1)(1,1,0)_12;675.6209647;682.9355303;676.5965745;270.0658797
ARIMA(0,2,2)(1,1,0)_12;676.0240654;683.3386309;676.9996751;271.2753821
ARIMA(2,2,0)(1,1,0)_12;676.1693331;683.4838987;677.1449428;272.0421102
ARIMA(2,2,1)(1,1,1)_12;676.2566103;687.2284587;678.4104565;247.9558763
ARIMA(1,2,2)(1,1,1)_12;676.6497739;687.6216223;678.80362;252.7132698
ARIMA(2,2,1)(1,1,0)_12;677.6045011;686.7477081;679.1045011;270.1014099
ARIMA(1,2,2)(1,1,0)_12;677.6106265;686.7538335;679.1106265;270.0732501
ARIMA(2,2,2)(1,1,1)_12;677.7689238;690.5694135;680.7162922;247.3965988
ARIMA(2,2,2)(1,1,0)_12;679.2579967;690.2298451;681.4118428;270.1002144
ARIMA(1,1,0)(0,1,1)_12;679.4714395;685.0218823;680.029579;223.3663377
ARIMA(2,1,0)(0,1,1)_12;679.9970435;687.3976339;680.9494244;220.7911318
ARIMA(1,1,1)(0,1,1)_12;680.0877488;687.4883392;681.0401297;221.1505549
ARIMA(1,1,0)(1,1,1)_12;681.426832;688.8274224;682.3792129;222.5151114
ARIMA(2,1,0)(1,1,1)_12;681.9694014;691.2201394;683.432816;219.4724241
ARIMA(1,1,1)(1,1,1)_12;682.0468924;691.2976304;683.510307;219.4744065
ARIMA(1,1,2)(0,1,1)_12;682.0839909;691.3347289;683.5474055;221.0227378
ARIMA(2,1,1)(0,1,1)_12;682.0906741;691.3414121;683.5540888;221.207631
ARIMA(1,1,0)(1,1,0)_12;682.1223304;687.6727732;682.6804699;268.7400775
ARIMA(2,1,2)(0,1,1)_12;683.454925;694.5558106;685.554925;219.2203571
ARIMA(2,1,1)(1,1,1)_12;683.4817555;694.5826411;685.5817555;219.8990708
ARIMA(2,1,0)(1,1,0)_12;683.5640225;690.9646129;684.5164035;267.8320919
ARIMA(1,1,1)(1,1,0)_12;683.5791326;690.979723;684.5315135;267.7784962
ARIMA(1,1,2)(1,1,1)_12;684.0450071;695.1458928;686.1450071;219.4558484
ARIMA(1,2,1)(0,1,0)_12;684.6142789;690.1002031;685.1857075;317.6856842
ARIMA(1,2,0)(0,1,0)_12;684.8415511;688.4988339;685.1206209;325.7779998
ARIMA(2,1,1)(1,1,0)_12;685.2076336;694.4583716;686.6710482;267.8254956
ARIMA(0,2,1)(0,1,0)_12;685.2496231;688.9069059;685.5286929;327.2506797
ARIMA(1,2,2)(0,1,0)_12;685.3097198;692.6242854;686.2853296;312.5252309
ARIMA(2,1,2)(1,1,1)_12;685.4345476;698.3855808;688.3063424;220.0837941
ARIMA(1,1,2)(1,1,0)_12;685.578231;694.828969;687.0416457;267.7589869
ARIMA(0,2,0)(0,1,0)_12;685.8223496;687.650991;685.9132587;336.7456216
ARIMA(2,2,0)(0,1,0)_12;686.0231404;691.5090646;686.594569;322.7697962
ARIMA(2,2,1)(0,1,0)_12;686.270832;693.5853975;687.2464417;316.3819323
ARIMA(2,1,2)(1,1,0)_12;687.0682829;698.1691685;689.1682829;268.1656776
ARIMA(0,2,2)(0,1,0)_12;687.2363913;692.7223155;687.8078199;327.227115
ARIMA(2,2,2)(0,1,0)_12;687.856294;696.999501;689.356294;314.7942154
ARIMA(2,1,2)(0,1,0)_12;692.016687;701.267425;693.4801016;297.6544893
ARIMA(1,1,0)(0,1,0)_12;693.367436;697.0677312;693.6401633;324.4571798
ARIMA(2,1,1)(0,1,0)_12;693.5482321;700.9488226;694.5006131;310.827298
ARIMA(2,1,0)(0,1,0)_12;693.9748447;699.5252875;694.5329842;319.453886
ARIMA(1,1,2)(0,1,0)_12;694.2347171;701.6353076;695.1870981;312.8965168
ARIMA(1,1,1)(0,1,0)_12;694.3956654;699.9461082;694.9538049;320.9757083
ARIMA(0,1,2)(0,1,0)_12;696.4355329;701.9859757;696.9936725;327.163836
ARIMA(0,1,2)(0,1,1)_12;696.8552079;704.2557983;697.8075889;319.1997236
ARIMA(0,1,2)(1,1,0)_12;696.8943678;704.2949582;697.8467487;319.5933006
ARIMA(0,1,2)(1,1,1)_12;698.5969404;707.8476784;700.060355;297.8014938
ARIMA(2,0,0)(1,1,1)_12;703.9170624;713.2730674;705.3456338;235.8949247
ARIMA(2,0,1)(1,1,1)_12;704.2650705;715.4922766;706.313851;219.7711308
ARIMA(2,0,0)(1,1,0)_12;704.5126274;711.9974314;705.44286;269.343901
ARIMA(2,0,1)(1,1,0)_12;705.6243537;714.9803588;707.0529251;267.5785493
ARIMA(2,0,2)(1,1,0)_12;707.485862;718.713068;709.5346425;267.012455
ARIMA(0,1,1)(0,1,0)_12;715.2831594;718.9834546;715.5558867;412.7192597
ARIMA(2,0,2)(1,1,1)_12;715.4090764;728.5074835;718.2090764;278.2333816
ARIMA(2,0,0)(0,1,0)_12;715.7252263;721.3388293;716.2706808;325.2053076
ARIMA(2,0,1)(0,1,0)_12;716.2908781;723.7756821;717.2211106;319.9744029
ARIMA(0,1,1)(1,1,0)_12;716.7137822;722.264225;717.2719217;408.975805
